keys,ru,en
menu.play,Играть,Play
menu.exit,Выйти,Quit
menu.achvs,Достижения,Achievements
menu.settings,Настройки,Settings
menu.about,Об игре,About
menu.lang,Язык,Language
menu.more,Ещё игры,More games
menu.change,Сменить,Change
menu.cancel,Отмена,Cancel
menu.yes,Да,Yes
menu.noo,НЕТ!,NO!
menu.yess,да,yes
menu.version,Версия: ,Version: 
menu.save_id,ID сохранения: ,Save ID: 
menu.creation_date,Дата создания: ,Creation date: 
menu.back,Назад,Back
menu.about.text,"Разработчик, графический и звуковой дизайнер:
Михаил (Summersay415)

Дизайнер уровней:
Артём (NETRASH)

Композитор:
Арсений (шИш)

Поддерживают и тестируют:
Андрей, Матвей, Кирилл, Гоша

Звуки с Zapsplat, Freesound","Developer, graphic and sound designer:
Michael (Summersay415)

Level designer:
Artem (NETRASH)

Music writer:
Arseniy (shIsh)

Testers:
Andrew, Matvey, Kirill, Gosha

Sounds from Zapsplat, Freesound"
menu.thanks,Спасибо за игру!,Thanks for playing!
menu.s_thanks,Благодарности,Special Thanks
menu.licenses,Лицензии,Licenses
menu.tg,Следить за новостями можно в нашем Telegram-канале: ,You can follow the news in our Telegram channel:
menu.licenses.text,"Эта игра использует движок Godot Engine, распространяемый под лицензией MIT. Текст лицензии:","This game uses Godot Engine, distributed under MIT license. License text:"
menu.s_thanks.text,"Вдохновлено Brawl Stars, Match Land, Alpha Platformer Adventure.

Говорю спасибо:
Кириллу - как хорошему другу.
Андрею - за его бесконечную критику и тестировку.
Матвею - за очень хорошую поддержку.
Фёдору - за поддержку и материальное вложение. Без Фёдора наших игр не было бы в Google Play.
Арсению - за музыку, поддержку и заинтересованность.
Гоше - за страданиями над моей первой игрой...
Вадиму - за тестирование.
Учитель физики - Гордон Глеб Владимирович.
И всем тем, кто заинтересовался бета-версиями этой игры.
Спасибо и тебе, игрок.

СПАСИБО!!!","Inspired by Brawl Stars, Match Land, Alpha Platformer Adventure

Thanks to:
Kirill — for being a good friend.
Andrew — for endless criticism and testing.
Matvey — for very good support.
Fedor — for support and material investment. Without Fedor, our games would not be on Google Play.
Arseniy — for music, support and interest.
Gosha — for suffering over my first game…
Vadim — for testing.
Physics teacher — Gordon Gleb Vladimirovich.
And to all those who are interested in the beta versions of this game.
Thank you, too, player.

THANK YOU!!!"
menu.stats,Статистика,Statistics
stat.level,Уровень: ,Level:
stat.levels,Уровней завершено: ,Levels completed:
stat.coins,Монет: ,Coins:
stat.gems,Кристаллов: ,Gems:
stat.tickets,Билеты:,Tickets:
stat.classes,Классов открыто:,Classes opened:
stat.kills,Убийств:,Kills:
stat.boss_kills,Боссов побеждено:,Bosses defeated:
stat.damaged,Получен урон:,Damaged:
stat.falls,Падений с высоты:,Fall damaged:
stat.beartraped,Попаданий в капкан:,Catched in beartrap:
stat.jumps,Прыжков: ,Jumps:
stat.skills,Навык использован: ,Skill used:
stat.soulskills,Душевный навык исп.:,Soul skill used:
stat.deaths,Смертей: ,Deaths:
stat.revives,Возрождений: ,Revives:
stat.potions1,Маленьких зелий: ,Small potions:
stat.potions2,Средних зелий: ,Medium potions:
stat.potions3,Больших зелий: ,Big potions:
stat.potions_used,Зелий выпито: ,Potions used:
stat.boxes,Ящиков открыто:,Boxes opened:
stat.mp_levels,Пройдено уровней в м/п:,Levels in m/p completed:
stat.mp_revives,Игроков воскрешено:,Players revived:
stat.reznya,Резня пройдена: ,Bloodbath completed:
stat.dyh,Изб. от нен. пройдена:,Destroy your hate completed:
stat.ls,Посл. волны пройдены: ,Last waves completed:
stat.pd,Уровней в P. Dash: ,Levels in P. Dash:
stat.garden,Урожай в саду собран: ,Garden harvest collected:
stat.2d_wins,Побед в 2Д-шутере: ,Victories in 2D Shooter:
stat.fnas,Ночь во FNaS: ,FnaS night:
stat.achvs,Достижений получено: ,Achievements got:
stat.time,Времени проведено: ,Time elapsed:
menu.message,Сообщение!,Message!
menu.setting.music,Громкость музыки:,Music volume:
menu.setting.sfx,Громкость звуков:,SFX volume:
menu.setting.graphics,Графика:,Graphics:
menu.graphics.setup,Настроить…,Set up…
menu.setting.scm,Плавное движение камеры:,Smooth camera movement:
menu.setting.damping,Резкость камеры:,Camera damping:
menu.press,Нажми!,Tap!
menu.tip.smc,"Если выключено, камера будет точно повторять движения игрока.","If not enabled, the camera will precisely copy player’s movement."
menu.tip.damping,"Чем выше значение, тем быстрее камера будет следовать за игроком.","The higher the value, the faster the camera will follow the player."
menu.controls,Сменить управление,Change controls
menu.controls.pc,Управление (ПК),Controls (PC)
menu.change_name,Сменить имя,Change name
menu.delete,Удалить сохранение,Delete save
menu.deletion,Удаление,Deleting
menu.deletion.text,Действительно хочешь удалить это сохранение без возможности восстановления?,Do you really want to delete this save without the possibility of recovery?
menu.last_confirm,Удалить сохранение?,Delete save?
menu.last_confirm.text,Ты уверен?,Are you sure?
menu.current_name,Текущее имя: ,Current name: 
menu.changing_name,Смена имени,Changing name
menu.controls.pc.text,"Стрелка влево/A - Движение влево
Стрелка вправо/D - Движение вправо
Стрелка вверх/Пробел/W - Прыжок
Стрелка вниз/C/Нажатие правой кнопки мыши - Атака
Enter/X - Использовать навык
Shift/Z - Использовать душ. навык
1/2/3 - Использовать зелье уровня 1/2/3
Прицеливание осуществляется мышью.","Left arrow/A — Movement to the left
Right arrow/D — Movement to the right
Up arrow/Space/W — Jump
Down arrow/C/Right Mouse Button — Attack
Enter/X — Use skill
Shift/Z — Use soul skill
1/2/3 — Use level 1/2/3 potion
Aiming is done with mouse."
menu.warning,Предупреждение!,Warning!
menu.blw.text,"Опция ""Красивый свет"" может привести к потере производительности, рекомендуем её включать только на ПК или мощном смартфоне.","The ""Beautiful light"" option can lead to a loss of performance, we recommend turning it on only on a PC or a powerful smartphone."
menu.gr.proj_effects,Эффекты снарядов,Projectile effects
menu.gr.proj_effects.standard,Стандартные,Standard
menu.gr.proj_effects.simple,Упрощённые,Simple
menu.gr.proj_effects.off,Выключить,Disable
menu.gr.grass,Трава,Grass
menu.gr.grass.gpu,Анимированная (GPU),GPU-animated
menu.gr.grass.cpu,Анимированная (CPU),CPU-animated
menu.gr.grass.static,Статичная,Static
menu.gr.misc,Прочее,Miscellaneous
menu.gr.misc.beauty_light,Красивый свет,Beautiful light
menu.gr.misc.beauty_water,Красивая вода,Beautiful water
menu.gr.misc.beauty_lava,Красивая лава,Beautiful lava
menu.gr.misc.beauty_fire,Красивый огонь,Beautiful fire
menu.change_name.placeholder,Введите новое имя…,Enter new name…
menu.skip,Пропустить обучение,Skip tutorial
menu.rate.title,Оцени нас!,Rate us!
menu.rate.text,"Дорогой игрок! Мы очень старались над этой игрой и будем очень рады, если ты оценишь её на 5 звёзд!","Dear player! We worked hard on this game, and we will be very happy if you rate it 5 stars!"
menu.rate,Оценить,Rate
achv.boss1,Это мои овцы,These sheeps are mine
achv.boss1.desc,Победи Пастуха.,Defeat the Shepherd.
achv.boss2,Экологический борец,Ecologic fighter
achv.boss2.desc,Победи Лесоруба.,Defeat the Lumberjack.
achv.boss3,Белый маг,White Wizard
achv.boss3.desc,Победи Чёрного мага.,Defeat the Black Wizard.
achv.boss4,Фехтовальщик,Fencer
achv.boss4.desc,Победи Великого рыцаря.,Defeat the Great Knight.
achv.boss5,Без талона,Without a coupon
achv.boss5.desc,Победи Хирурга.,Defeat the Surgeon.
achv.boss6,Пожарный,Fireman
achv.boss6.desc,Победи Огненного стража.,Defeat the Fire Guard.
achv.boss7,Государственный переворот,State coup
achv.boss7.desc,Победи Красного Короля.,Defeat the Red King.
achv.boss8,"Реквием, да!","Requiem, da!"
achv.boss8.desc,Победите Егора.,Defeat the Egor.
achv.boss9,,
achv.boss9.desc,,
achv.boss10,,
achv.boss10.desc,,
achv.what_is_it,Это что?,What is it?
achv.what_is_it.desc,Открой первый класс.,Unlock your first class.
achv.master,Мастер всех оружий,Master of all weapons
achv.master.desc,Открой все классы.,Unlock all classes.
achv.im_power,Сама сила,I’m power
achv.im_power.desc,Прокачай класс на максимум.,Level a class up to the maximum.
achv.lucky_amulet,На удачу,For luck
achv.lucky_amulet.desc,Создай первый амулет.,Craft your first amulet.
achv.help_from_inside,Помощь изнутри,Help from inside
achv.help_from_inside.desc,Открой первый душевный навык.,Open your first soul skill.
achv.soul_master,Мастер души,Soul master
achv.soul_master.desc,Открой первую душевную силу.,Open your first soul power.
achv.dark_creation,Воплощение тьмы,Dark creation
achv.dark_creation.desc,Встреть саму Смерть.,Meet the Death.
achv.potion_man,Зельеман,Potions lover
achv.potion_man.desc,Используй зелья 10 раз.,Use potions 10 times.
achv.prozapass,Прозапас,For everything
achv.prozapass.desc,Получи по 5 зелий каждого вида.,Get 5 potions of each kind.
achv.burn_her_faster,Кремируйте её быстрее!,Cremate her faster!
achv.burn_her_faster.desc,Сожги врага.,Burn an enemy.
achv.this_is_sparta,Это... Спарта!,This… is… Sparta!
achv.this_is_sparta.desc,Заставь монстра умереть от падения.,Make a monster die from falling.
achv.fuck,ДА ТЫ ЧТО..,"OH, REALLY.."
achv.fuck.desc,Умри во время использования зелья…,Die while using the potion…
achv.some_peoples,Какие-то человеки..,Some peoples..
achv.some_peoples.desc,Посмотри создателей игры.,Check out the creators of the game.
achv.reznya,Резня,Bloodbath
achv.reznya.desc,"Пройди мини-игру ""Резня"".",Complete the «Bloodbath» mini-game.
achv.cleared,Очищение,Cleared
achv.cleared.desc,"Пройди мини-игру ""Изб. от ненависти"".",Complete the «Destroy Your Hate» mini-game.
achv.diamonds,АЛМАЗЫ!!,DIAMONDS!!
achv.diamonds.desc,"Подбери кристалл в ""Симуляторе камня"".",Pick up a gem in «Stone Simulator».
achv.last_stander,Последний оплот,Last Hero
achv.last_stander.desc,"Пройди мини-игру ""Последние волны"".",Complete the «Last Waves» mini-game.
achv.dasher.desc,"Пройди уровень в мини-игре ""Platformer Dash"".",Complete a level in the «Platformer Dash» mini-game.
achv.loot,Урожай,Harvest
achv.loot.desc,"Собери награду с 3 растений в ""Саду"".",Collect reward from 3 plants in «Garden».
achv.victory_royale.desc,"Выиграй 1 игру в ""2Д-шутере"".",Win 1 game in «2D-shooter».
achv.escape,Побег,Escape
achv.escape.desc,"Пройди мини-игру ""FNaS""…",Complete the «Fnas» mini-game…
achv.untouched,Неприкасаемый,Untouched
achv.untouched.desc,"Пройди уровень, не получив урон.",Complete a level without taking any damage.
achv.better_together,Вместе сильнее,Stronger together
achv.better_together.desc,Пройди любой уровень в мультиплеере.,Complete any level in multiplayer.
achv.good_partner,Надёжный товарищ,Good partner
achv.good_partner.desc,Воскреси напарника 5 раз.,Revive your partner 5 times.
achv.screw_it,Беззаботность,Carefree
achv.screw_it.desc,"Дай товарищу завершить уровень, пока ты лежишь на земле.",Let your partner complete the level while you are lying on the ground.
achv.what_a_waste,Какая жалость!,What a pity!
achv.what_a_waste.desc,Пройди уровень с 0 здоровья.,Complete a level with 0 health.
achv.on_the_edge,На грани,On the edge
achv.on_the_edge.desc,"Заверши уровень с меньше, чем 10% здоровья.",Complete a level with less than 10% health.
achv.origin,Начало,Origin
achv.origin.desc,Вспомни своё прошлое.,Remember your past.
achv.killer,Убийца,Killer
achv.killer.desc,Соверши 250 убийств.,Make 250 kills.
achv.you_missed,Ха! Не попал,Ha! You missed
achv.you_missed.desc,Уклонись от атаки.,Dodge an attack.
achv.air,Во-о-оздух,A-a-ai-i-ir
achv.air.desc,Всплыви на поверхность с 20% и ниже оставшегося воздуха.,Float to the surface with 20% and less remaining air.
achv.fall,Ай! Нога!,Ouch! My leg!
achv.fall.desc,Получи урон от падения.,Take damage from the fall.
achv.skill,Оттачивание навыка,Upgrading skill
achv.skill.desc,Используй навык 15 раз.,Use skill 15 times.
achv.bear,Как медведь,Like a bear
achv.bear.desc,Попади в капкан 10 раз.,Fall into beartrap 10 times.
achv.pacifist,Пацифист,Pacifist
achv.pacifist.desc,"Пройди уровень, не дав ни одному монстру умереть.",Complete the level without letting any monster die.
achv.rejected,Отклонение,Refuse
achv.rejected.desc,Отрази снаряд врага.,Reject enemy’s projectile.
achv.return_to_sender,Вернуть отправителю,Return to sender
achv.return_to_sender.desc,"Получи урон от собственного снаряда, отражённого Чёрным магом.","Take damage from your own projectile, reflected by the Black Wizard."
achv.hacker,Взломщик,Burglar
achv.hacker.desc,Открой 50 ящиков.,Open 50 boxes.
,,
,,
achv.hero,ГЕРОЙ!,THE HERO!
achv.hero.desc,Пройди игру!,Complete the game!
amulet.none,Нет,None
amulet.power,Сила,Power
amulet.power.desc,+15 к урону,+15 attack
amulet.defense,Защита,Defense
amulet.defense.desc,+5 к защите,+5 defense
amulet.health,Здоровье,Health
amulet.health.desc,+60 к здоровью,+60 health
amulet.reload,Перезарядка,Reload
amulet.reload.desc,-20% от времени перезарядки,-20% reload time
amulet.speed,Скорость,Speed
amulet.speed.desc,+7 к скорости,+7 speed
amulet.ulti,Навык,Skill
amulet.ulti.desc,-20% от времени зарядки навыка,-20% skill charge time
ulti.flurry,ШКВАЛ,FLURRY
ulti.smash,УДАР,SMASH
ulti.stun,ОГЛУШЕНИЕ,STUN
ulti.heal,ЛЕЧЕНИЕ,HEAL
ulti.blitz,НАЛЁТ,BLITZ
ulti.death,РЫВОК СМЕРТИ,DEATH DASH
ulti.hero,АВИАУДАР,AIR STRIKE
class.knight,РЫЦАРЬ,KNIGHT
class.knight.l,Рыцарь,Knight
class.butcher,МЯСНИК,BUTCHER
class.butcher.l,Мясник,Butcher
class.spearman,КОПЬЕНОСЕЦ,SPEARMAN
class.spearman.l,Копьеносец,Spearman
class.wizard,МАГ,WIZARD
class.wizard.l,Маг,Wizard
class.archer,ЛУЧНИК,ARCHER
class.archer.l,Лучник,Archer
class.none,НЕТ,NONE
class.none.l,Нет,None
