keys,ru,en
1.name,Резня,Bloodbath
1.reward,Награда за выживание: 2 золотых ящика,Reward for surviving: 2 gold boxes
1.music,Музыка: KSLV - Override (https://youtu.be/NS8DPG62Fto),Music: KSLV - Override (https://youtu.be/NS8DPG62Fto)
1.win,ТЫ ПОБЕДИЛ!,YOU WIN!
1.level,ВЫЖИВИ 2 МИНУТЫ!!!,SURVIVE 2 MINUTES!!!
1.select,Выбери класс:,Select class:
1.begin,НАЧАТЬ,START
2.name,Избавление от ненависти,Destroy Your Hate
2.free_from,Освободись от,Destroy your
2.hateee,НЕНАВИСТИ!!!,HATE!!!
2.death,Смерть ждёт тебя…,Death is waiting for you…
3.total,Всего заработано:,Earned total:
3.name,Симулятор камня,Stone Simulator
4.name,Последние волны,Last Waves
4.wave.start,Волна %d началась!,Wave %d started!
4.wave.end,Все враги появились!,All enemies spawned!
4.wave.clear,Волна зачищена!,Wave cleared!
4.win,Поздравляем с победой!,You win!
4.wave.left,Врагов осталось: ,Enemies remaining: 
4.tip,Отбивайся от волн врагов!,Fight back to waves of enemies!
4.shop.title,Магазин улучшений,Shop of upgrades
4.shop.def,+1 защита,+1 defense
4.shop.atk,+6 атаки,+6 attack
4.shop.hp,+20 здоровья,+20 health
4.shop.arm,+15 брони,+15 armor
4.shop.start,Начать волну,Start wave
5.preview,Предпросмотр,Preview
5.camera,Перемещение камеры,Move camera mode
5.erase,Стирание блоков,Eraser mode
5.flip.x,Отражение по X,Flip X
5.flip.y,Отражение по Y,Flip Y
5.rotate,Повернуть блок,Rotate block
5.exit.save,Сохранить и выйти,Save & Exit
5.settings,Настройки уровня,Level Settings
5.settings.bg,Фон уровня:,Background:
5.settings.music,Музыка уровня:,Music:
5.settings.gr,Пол уровня:,Ground:
5.bg.sky,Небо,Sky
5.music.tense,Напряжение,Tense
5.music.boss,Босс леса,Forest boss
5.gr.dirt,Земля,Grass
5.gr.stone,Камень,Stone
5.select,Выбери уровень:,Select level:
5.custom,Свой уровень,Custom level
5.custom.edit,Ред.,Edit
5.easy,Обширное поле,Big field
5.normal,Брождение по лесу,Forest walks
5.hard,Горное безумие,Mountain madness
6.name,Сад,Garden
6.gift.collect,Забрать,Claim
6.buy.text,"Действительно хочешь купить садовый ящик за 3 билета?
У тебя: ","Are you really want to buy garden box with 2 tickets?
You have: "
6.no.tickets,Недостаточно билетов!,Not enough tickets!
6.tip.plant,"Выбери горшок для посадки (нажми кнопку ещё раз, чтобы отменить)",Select pot to plant (press button again to cancel)
6.tip.remove,"Выбери растение для выкапыванния (нажми кнопку ещё раз, чтобы отменить)",Select plant to dig out (press button again to cancel)
6.tip.fert,"Выбери растение для удобрения (нажми кнопку ещё раз, чтобы отменить)",Select plant to fertilize (press button again to cancel)
6.rarity.common,Обычное,Common
6.rarity.rare,Редкое,Rare
6.rarity.epic,Эпическое,Epic
6.rarity.legendary,Легендарное,Legendary
6.cant.grown,Нельзя удобрить выросшее растение!,Can’t fertilize a grown plant!
6.cant.nowater,Нельзя удобрить неполитое растение!,Can’t fertilize a unwatered plant!
6.no.fert,Недостаточно удобрений! (требуется {0}),Not enough fertilizer! (you need {0})
6.no.water,Недостаточно воды!,Not enough water!
6.act.plant,Посадить,Plant
6.act.remove,Выкопать,Dig out
